#======= TRAJECTORY BEGIN: 
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.970       6.746       1.780      -0.000      -0.000       0.000       1.000
#--------Waypoint:     8.969       8.095       0.000       1.112      -1.257      -1.780       1.000
#--------Waypoint:    10.640       8.018       0.000       0.689      -2.876      -1.780       1.000
#--------Waypoint:    12.234       7.767      -1.571       0.113      -4.383       2.932       1.000
#--------Waypoint:    12.004       6.842      -2.618      -0.744      -3.965       1.885       1.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.74320  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.74320  m/s
#--------Track width:               0.77419  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,   -0.00000,   -0.00000,    0.00000,   -1.01213,Segment:  1
   0.28558,    0.43522,    1.52400,    0.06211,   -0.00198,   -0.06416,   -1.05117,Segment:  2
   0.40155,    0.61197,    1.52400,    0.12256,   -0.00783,   -0.12895,   -1.08069,Segment:  3
   0.48926,    0.74563,    1.52400,    0.18132,   -0.01739,   -0.19392,   -1.09976,Segment:  4
   0.56235,    0.85702,    1.52400,    0.23839,   -0.03053,   -0.25863,   -1.10799,Segment:  5
   0.62617,    0.95428,    1.52400,    0.29377,   -0.04709,   -0.32267,   -1.10562,Segment:  6
   0.68350,    1.04166,    1.52400,    0.34743,   -0.06694,   -0.38563,   -1.09341,Segment:  7
   0.73602,    1.12169,    1.52400,    0.39938,   -0.08992,   -0.44720,   -1.07260,Segment:  8
   0.78480,    1.19604,    1.52400,    0.44960,   -0.11589,   -0.50709,   -1.04469,Segment:  9
   0.83062,    1.26587,    1.52400,    0.49808,   -0.14471,   -0.56510,   -1.01133,Segment:  10
   0.87402,    1.33201,    1.52400,    0.54482,   -0.17622,   -0.62109,   -0.97418,Segment:  11
   0.91540,    1.39507,    1.52400,    0.58980,   -0.21029,   -0.67496,   -0.93478,Segment:  12
   0.95508,    1.45554,    1.52400,    0.63302,   -0.24676,   -0.72669,   -0.89450,Segment:  13
   0.99329,    1.51377,    1.52400,    0.67446,   -0.28550,   -0.77630,   -0.85447,Segment:  14
   1.03021,    1.57004,    1.52400,    0.71411,   -0.32635,   -0.82384,   -0.81562,Segment:  15
   1.06600,    1.62458,    1.52400,    0.75198,   -0.36918,   -0.86939,   -0.77866,Segment:  16
   1.10076,    1.67755,    1.52400,    0.78804,   -0.41382,   -0.91308,   -0.74411,Segment:  17
   1.16752,    1.77930,    1.52400,    0.85471,   -0.50801,   -0.99535,   -0.68357,Segment:  18
   1.23101,    1.87607,    1.52400,    0.91405,   -0.60774,   -1.07179,   -0.63566,Segment:  19
   1.29155,    1.96832,    1.52400,    0.96599,   -0.71185,   -1.14362,   -0.60102,Segment:  20
   1.34928,    2.05630,    1.52400,    1.01045,   -0.81918,   -1.21210,   -0.57992,Segment:  21
   1.40430,    2.14015,    1.52400,    1.04736,   -0.92857,   -1.27852,   -0.57288,Segment:  22
   1.45663,    2.21991,    0.03913,    1.07664,   -1.03883,   -1.34420,   -0.58094,Segment:  23
   1.50710,    2.22188,   -0.63272,    1.09821,   -1.14882,   -1.41056,   -0.60613,Segment:  24
   1.55669,    2.19050,    0.00612,    1.11199,   -1.25736,   -1.47917,   -0.65182,Segment:  25
   1.60524,    2.19080,    0.29543,    1.11804,   -1.36355,   -1.54866,   -0.65138,Segment:  26
   1.65252,    2.20477,    0.58578,    1.11685,   -1.46746,   -1.61547,   -0.63089,Segment:  27
   1.69863,    2.23178,    0.85684,    1.10905,   -1.56944,   -1.67817,   -0.59199,Segment:  28
   1.74365,    2.27035,    1.09331,    1.09525,   -1.66984,   -1.73555,   -0.53804,Segment:  29
   1.78767,    2.31847,    1.28634,    1.07609,   -1.76900,   -1.78670,   -0.47325,Segment:  30
   1.83077,    2.37392,    1.43346,    1.05219,   -1.86726,   -1.83098,   -0.40186,Segment:  31
   1.87305,    2.43452,    1.52400,    1.02416,   -1.96496,   -1.86806,   -0.32755,Segment:  32
   1.91459,    2.49783,    1.52400,    0.99264,   -2.06245,   -1.89780,   -0.25315,Segment:  33
   1.95552,    2.56020,    1.52400,    0.95824,   -2.16006,   -1.92022,   -0.18061,Segment:  34
   1.99593,    2.62179,    1.52400,    0.92158,   -2.25815,   -1.93545,   -0.11115,Segment:  35
   2.03592,    2.68273,    1.09320,    0.88329,   -2.35704,   -1.94371,   -0.04546,Segment:  36
   2.07566,    2.72618,   -1.45454,    0.84400,   -2.45710,   -1.94525,    0.01613,Segment:  37
   2.11609,    2.66737,   -1.24288,    0.80432,   -2.55865,   -1.94032,    0.07344,Segment:  38
   2.15799,    2.61530,   -1.05636,    0.76487,   -2.66204,   -1.92921,    0.12633,Segment:  39
   2.20135,    2.56950,   -0.88851,    0.72629,   -2.76761,   -1.91225,    0.17463,Segment:  40
   2.24617,    2.52967,    0.30200,    0.68919,   -2.87571,   -1.88975,    0.21806,Segment:  41
   2.29198,    2.54351,   -1.52400,    0.65402,   -2.98647,   -1.86777,    0.16179,Segment:  42
   2.33887,    2.47205,   -1.52400,    0.62057,   -3.09920,   -1.85170,    0.11253,Segment:  43
   2.38744,    2.39804,   -1.52400,    0.58844,   -3.21301,   -1.84109,    0.06740,Segment:  44
   2.43752,    2.32171,   -1.52400,    0.55724,   -3.32700,   -1.83570,    0.02386,Segment:  45
   2.48893,    2.24336,   -1.52400,    0.52658,   -3.44027,   -1.83548,   -0.02063,Segment:  46
   2.54147,    2.16330,   -1.52400,    0.49606,   -3.55193,   -1.84060,   -0.06882,Segment:  47
   2.59490,    2.08187,   -1.52400,    0.46530,   -3.66109,   -1.85144,   -0.12405,Segment:  48
   2.64895,    1.99949,   -1.52400,    0.43390,   -3.76684,   -1.86865,   -0.19070,Segment:  49
   2.70335,    1.91659,   -1.52400,    0.40147,   -3.86829,   -1.89323,   -0.27484,Segment:  50
   2.75777,    1.83366,   -1.52400,    0.36762,   -3.96455,   -1.92659,   -0.38524,Segment:  51
   2.81186,    1.75121,   -1.52400,    0.33195,   -4.05472,   -1.97075,   -0.53479,Segment:  52
   2.86530,    1.66978,   -1.52400,    0.29408,   -4.13790,   -2.02849,   -0.74222,Segment:  53
   2.91775,    1.58984,   -1.52400,    0.25361,   -4.21320,   -2.10356,   -1.03357,Segment:  54
