#======= TRAJECTORY BEGIN: Three Ball
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.970       6.746       1.780       0.000       0.000       0.000       1.000
#--------Waypoint:     8.681       7.998       0.000       1.078      -0.956      -1.780       1.000
#--------Waypoint:    10.640       8.018       0.000       0.689      -2.876      -1.780       1.000
#--------Waypoint:    12.234       7.767      -1.571       0.113      -4.383       2.932       1.000
#--------Waypoint:    12.004       6.842      -2.618      -0.744      -3.965       1.885       1.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.52400  m/s
#--------Maximum Acceleration:      0.76200  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.52400  m/s
#--------Track width:               1.21920  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.76200  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.76200,    0.00000,    0.00000,    0.00000,   -0.81178,Segment:  1
   0.37499,    0.28574,    0.76200,    0.05356,   -0.00118,   -0.04411,   -0.83473,Segment:  2
   0.52830,    0.40257,    0.76200,    0.10621,   -0.00467,   -0.08873,   -0.85630,Segment:  3
   0.64469,    0.49125,    0.76200,    0.15790,   -0.01044,   -0.13380,   -0.87631,Segment:  4
   0.74185,    0.56529,    0.76200,    0.20860,   -0.01844,   -0.17926,   -0.89464,Segment:  5
   0.82670,    0.62994,    0.76200,    0.25828,   -0.02862,   -0.22506,   -0.91116,Segment:  6
   0.90280,    0.68793,    0.76200,    0.30689,   -0.04093,   -0.27113,   -0.92577,Segment:  7
   0.97229,    0.74088,    0.76200,    0.35440,   -0.05533,   -0.31741,   -0.93842,Segment:  8
   1.03657,    0.78987,    0.76200,    0.40077,   -0.07176,   -0.36386,   -0.94906,Segment:  9
   1.09663,    0.83563,    0.76200,    0.44598,   -0.09019,   -0.41041,   -0.95770,Segment:  10
   1.15319,    0.87873,    0.14688,    0.48997,   -0.11056,   -0.45701,   -0.96435,Segment:  11
   1.20779,    0.88675,   -0.02395,    0.53271,   -0.13283,   -0.50361,   -0.96907,Segment:  12
   1.26192,    0.88545,   -0.00888,    0.57417,   -0.15695,   -0.55018,   -0.97191,Segment:  13
   1.31590,    0.88497,    0.00535,    0.61432,   -0.18287,   -0.59665,   -0.97296,Segment:  14
   1.36974,    0.88526,    0.01876,    0.65310,   -0.21055,   -0.64301,   -0.97233,Segment:  15
   1.42343,    0.88627,    0.03138,    0.69049,   -0.23994,   -0.68921,   -0.97012,Segment:  16
   1.47699,    0.88795,    0.04322,    0.72646,   -0.27099,   -0.73523,   -0.96645,Segment:  17
   1.53043,    0.89026,    0.05435,    0.76096,   -0.30366,   -0.78104,   -0.96144,Segment:  18
   1.58375,    0.89316,    0.06480,    0.79395,   -0.33790,   -0.82661,   -0.95521,Segment:  19
   1.63697,    0.89661,    0.07464,    0.82541,   -0.37365,   -0.87194,   -0.94788,Segment:  20
   1.69009,    0.90057,    0.08395,    0.85529,   -0.41089,   -0.91700,   -0.93955,Segment:  21
   1.74314,    0.90502,    0.09278,    0.88356,   -0.44954,   -0.96178,   -0.93033,Segment:  22
   1.79612,    0.90994,    0.10123,    0.91017,   -0.48958,   -1.00627,   -0.92030,Segment:  23
   1.84905,    0.91530,    0.10937,    0.93511,   -0.53096,   -1.05047,   -0.90956,Segment:  24
   1.90195,    0.92108,    0.12122,    0.95832,   -0.57361,   -1.09438,   -0.89817,Segment:  25
   2.00763,    0.93389,    0.13672,    0.99943,   -0.66260,   -1.18126,   -0.87369,Segment:  26
   2.11334,    0.94835,    0.15249,    1.03321,   -0.75617,   -1.26690,   -0.84727,Segment:  27
   2.21916,    0.96448,    0.16912,    1.05938,   -0.85394,   -1.35126,   -0.81915,Segment:  28
   2.32520,    0.98242,    0.75447,    1.07763,   -0.95554,   -1.43432,   -0.78952,Segment:  29
   2.42856,    1.06039,    0.69809,    1.08783,   -1.06061,   -1.51172,   -0.67768,Segment:  30
   2.52746,    1.12944,    0.51867,    1.09046,   -1.16888,   -1.57935,   -0.57307,Segment:  31
   2.62386,    1.17944,    0.49989,    1.08617,   -1.28008,   -1.63778,   -0.47923,Segment:  32
   2.71892,    1.22696,    0.47044,    1.07557,   -1.39396,   -1.68777,   -0.39714,Segment:  33
   2.81293,    1.27118,    0.43650,    1.05932,   -1.51026,   -1.73012,   -0.32625,Segment:  34
   2.90612,    1.31186,    0.40271,    1.03805,   -1.62872,   -1.76562,   -0.26527,Segment:  35
   2.99863,    1.34911,    0.37225,    1.01239,   -1.74909,   -1.79494,   -0.21265,Segment:  36
   3.09050,    1.38331,    0.35266,    0.98298,   -1.87111,   -1.81868,   -0.16684,Segment:  37
   3.13619,    1.39943,    0.34168,    0.96707,   -1.93266,   -1.82862,   -0.14603,Segment:  38
   3.18170,    1.41498,    0.33244,    0.95046,   -1.99452,   -1.83734,   -0.12639,Segment:  39
   3.22704,    1.43005,    0.32504,    0.93324,   -2.05667,   -1.84488,   -0.10777,Segment:  40
   3.27218,    1.44472,    0.31958,    0.91547,   -2.11907,   -1.85129,   -0.09002,Segment:  41
   3.31709,    1.45907,    0.31618,    0.89724,   -2.18168,   -1.85660,   -0.07299,Segment:  42
   3.36177,    1.47320,    0.31495,    0.87864,   -2.24449,   -1.86084,   -0.05657,Segment:  43
   3.40618,    1.48719,    0.31601,    0.85973,   -2.30744,   -1.86404,   -0.04061,Segment:  44
   3.45029,    1.50113,    0.31953,    0.84060,   -2.37052,   -1.86620,   -0.02499,Segment:  45
   3.49409,    1.51512,    0.08363,    0.82134,   -2.43369,   -1.86734,   -0.00961,Segment:  46
   3.53767,    1.51877,   -0.31890,    0.80201,   -2.49692,   -1.86747,    0.00565,Segment:  47
   3.58142,    1.50482,   -0.31256,    0.78269,   -2.56018,   -1.86659,    0.02091,Segment:  48
   3.62555,    1.49102,   -0.30880,    0.76348,   -2.62343,   -1.86470,    0.03628,Segment:  49
   3.67003,    1.47729,   -0.30741,    0.74444,   -2.68664,   -1.86179,    0.05187,Segment:  50
   3.71483,    1.46352,   -0.30822,    0.72566,   -2.74977,   -1.85785,    0.06780,Segment:  51
   3.75992,    1.44962,   -0.31106,    0.70722,   -2.81281,   -1.85287,    0.08417,Segment:  52
   3.80528,    1.43551,    0.26282,    0.68919,   -2.87571,   -1.84681,    0.10112,Segment:  53
   3.85047,    1.44739,    0.27246,    0.67164,   -2.93844,   -1.84069,    0.08683,Segment:  54
   3.89504,    1.45953,    0.28521,    0.65453,   -3.00092,   -1.83553,    0.07246,Segment:  55
   3.93895,    1.47205,    0.30168,    0.63782,   -3.06308,   -1.83133,    0.05789,Segment:  56
   3.98216,    1.48509,   -0.15783,    0.62147,   -3.12485,   -1.82810,    0.04298,Segment:  57
   4.06747,    1.47163,   -0.76200,    0.58963,   -3.24688,   -1.82463,    0.01156,Segment:  58
   4.15329,    1.40623,   -0.76200,    0.55862,   -3.36641,   -1.82530,   -0.02319,Segment:  59
   4.24096,    1.33943,   -0.76200,    0.52807,   -3.48283,   -1.83041,   -0.06305,Segment:  60
   4.33039,    1.27128,   -0.76200,    0.49758,   -3.59551,   -1.84044,   -0.11044,Segment:  61
   4.42148,    1.20187,   -0.76200,    0.46679,   -3.70386,   -1.85602,   -0.16866,Segment:  62
   4.51414,    1.13127,   -0.76200,    0.43531,   -3.80726,   -1.87803,   -0.24234,Segment:  63
   4.60827,    1.05954,   -0.76200,    0.40275,   -3.90510,   -1.90769,   -0.33809,Segment:  64
   4.70383,    0.98673,   -0.76200,    0.36874,   -3.99676,   -1.94661,   -0.46536,Segment:  65
   4.80084,    0.91280,   -0.76200,    0.33289,   -4.08164,   -1.99693,   -0.63741,Segment:  66
   4.89948,    0.83764,   -0.76200,    0.29482,   -4.15912,   -2.06146,   -0.87204,Segment:  67
   5.00020,    0.76089,   -0.76200,    0.25414,   -4.22859,   -2.14371,   -1.19033,Segment:  68
   5.05164,    0.72169,   -0.76200,    0.23271,   -4.26014,   -2.19275,   -1.38673,Segment:  69
   5.10406,    0.68174,   -0.76200,    0.21049,   -4.28945,   -2.24775,   -1.60916,Segment:  70
   5.15777,    0.64082,   -0.74553,    0.18742,   -4.31645,   -2.30920,   -1.85559,Segment:  71
   5.21316,    0.59953,   -0.61104,    0.16346,   -4.34107,   -2.37743,   -2.12002,Segment:  72
   5.27042,    0.56454,   -0.48048,    0.13857,   -4.36323,   -2.45260,   -2.39094,Segment:  73
   5.32943,    0.53619,   -0.06319,    0.11269,   -4.38285,   -2.53453,   -2.65049,Segment:  74
   5.38899,    0.53242,    0.00533,    0.08580,   -4.39988,   -2.61962,   -2.68810,Segment:  75
   5.44789,    0.53273,    0.07028,    0.05798,   -4.41436,   -2.70401,   -2.68493,Segment:  76
   5.50600,    0.53682,    0.13097,    0.02931,   -4.42634,   -2.78693,   -2.64423,Segment:  77
   5.56321,    0.54431,    0.18663,   -0.00011,   -4.43590,   -2.86769,   -2.57192,Segment:  78
   5.61948,    0.55481,    0.23649,   -0.03018,   -4.44309,   -2.94579,   -2.47550,Segment:  79
   5.67473,    0.56788,    0.27977,   -0.06081,   -4.44797,   -3.02088,   -2.36288,Segment:  80
   5.72897,    0.58305,    0.31571,   -0.09191,   -4.45060,   -3.09276,   -2.24150,Segment:  81
   5.78218,    0.59985,    0.34364,   -0.12338,   -4.45105,    3.12182,   -2.11771,Segment:  82
   5.83439,    0.61780,    0.36296,   -0.15513,   -4.44937,    3.05643,   -1.99648,Segment:  83
   5.88565,    0.63640,    0.37322,   -0.18705,   -4.44563,    2.99411,   -1.88145,Segment:  84
   5.93602,    0.65520,    0.37418,   -0.21907,   -4.43989,    2.93467,   -1.77504,Segment:  85
   5.98556,    0.67374,    0.36580,   -0.25108,   -4.43220,    2.87785,   -1.67871,Segment:  86
   6.03435,    0.69158,    0.34830,   -0.28298,   -4.42264,    2.82338,   -1.59318,Segment:  87
   6.08249,    0.70835,    0.32221,   -0.31470,   -4.41126,    2.77099,   -1.51866,Segment:  88
   6.13005,    0.72368,    0.28829,   -0.34612,   -4.39812,    2.72038,   -1.45501,Segment:  89
   6.17715,    0.73725,    0.24763,   -0.37715,   -4.38328,    2.67126,   -1.40192,Segment:  90
   6.22387,    0.74882,    0.20151,   -0.40771,   -4.36681,    2.62337,   -1.35894,Segment:  91
   6.27031,    0.75818,    0.15143,   -0.43769,   -4.34876,    2.57642,   -1.32559,Segment:  92
   6.31657,    0.76519,    0.09901,   -0.46701,   -4.32920,    2.53015,   -1.30143,Segment:  93
   6.36276,    0.76976,    0.04593,   -0.49556,   -4.30819,    2.48431,   -1.28601,Segment:  94
   6.40898,    0.77188,   -0.68827,   -0.52325,   -4.28579,    2.43865,   -1.27895,Segment:  95
   6.45629,    0.73931,   -0.76200,   -0.54999,   -4.26206,    2.39293,   -1.27989,Segment:  96
   6.50606,    0.70139,   -0.76200,   -0.57569,   -4.23706,    2.34691,   -1.28852,Segment:  97
   6.55877,    0.66122,   -0.76200,   -0.60025,   -4.21085,    2.30036,   -1.30454,Segment:  98
   6.61495,    0.61841,   -0.76200,   -0.62357,   -4.18350,    2.25307,   -1.32762,Segment:  99
   6.67533,    0.57241,   -0.76200,   -0.64556,   -4.15506,    2.20482,   -1.35742,Segment:  100
   6.74097,    0.52239,   -0.76200,   -0.66612,   -4.12560,    2.15542,   -1.39350,Segment:  101
   6.81352,    0.46711,   -0.76200,   -0.68517,   -4.09518,    2.10466,   -1.43528,Segment:  102
   6.89579,    0.40442,   -0.76200,   -0.70261,   -4.06385,    2.05237,   -1.48201,Segment:  103
   6.99328,    0.33013,   -0.76200,   -0.71833,   -4.03169,    1.99841,   -1.53269,Segment:  104
   7.12021,    0.23341,   -0.76200,   -0.73226,   -3.99874,    1.94263,   -1.58603,Segment:  105
   7.42652,    0.00000,   -0.76200,   -0.74428,   -3.96508,    1.88496,   -1.64039,Segment:  106
#======= TRAJECTORY END: Three Ball
